scenario,time_days,temperature_change_c,completed_cycles,mechanical_mm,thermal_recoverable_mm,hydraulic_transient_mm,cyclic_residual_mm,total_settlement_mm,allowable_settlement_mm,u_upper_silty_clay_kpa,u_sandy_silt_kpa,u_dense_sand_kpa
Bridge-abutment retrofit,2449.7983425414363,-7.712230370296045,6.0,11.666666666666666,-0.8918656315108667,-1.1581934442407238,0.3644679338750654,9.981075524790143,15.0,-78.50238194428135,-43.0287258715318,-5.965358397528767
Bridge-abutment retrofit,2451.8162983425414,-7.781383899282757,6.0,11.666666666666666,-0.8998627546308507,-1.3378689159755557,0.3644679338750654,9.793402929935326,15.0,-79.02449892431687,-42.872736937518226,-5.71660657313543
Bridge-abutment retrofit,2453.8342541436464,-7.8411614667426495,6.0,11.666666666666666,-0.9067756132194816,-1.5158141903394604,0.3644679338750654,9.60854479698279,15.0,-79.45183520101699,-42.66508969793811,-5.460966683073132
Bridge-abutment retrofit,2455.8522099447514,-7.891491045362856,6.0,11.666666666666666,-0.9125958778205847,-1.6918151110489172,0.3644679338750654,9.42672361167223,15.0,-79.78387492706274,-42.40603435150105,-5.198746753498266
Bridge-abutment retrofit,2457.8701657458564,-7.932311991921179,6.0,11.666666666666666,-0.9173165354686411,-1.8656598640694553,0.3644679338750654,9.248158201003635,15.0,-80.02021708207687,-42.095883039681894,-4.930262739002346
Bridge-abutment retrofit,2459.8881215469614,-7.963575120356453,6.0,11.666666666666666,-0.9209318981388644,-2.037139232836264,0.3644679338750654,9.073063469566604,15.0,-80.16057595581782,-41.73500947061455,-4.655838141911308
Bridge-abutment retrofit,2461.906077348066,-7.9852427610339145,6.0,11.666666666666666,-0.923437609600828,-2.2060468503449693,0.3644679338750654,8.901650140595933,15.0,-80.20478149243401,-41.32384846880289,-4.375803622490494
Bridge-abutment retrofit,2463.924033149171,-7.997288806134191,6.0,11.666666666666666,-0.9248306506673845,-2.372179447809148,0.3644679338750654,8.7341245020652,15.0,-80.1527794953635,-40.862895451190724,-4.090496600524512
Bridge-abutment retrofit,2465.941988950276,-7.999698741111169,6.0,11.666666666666666,-0.9251093428325488,-2.535337099584308,0.3644679338750654,8.570688158124874,15.0,-80.0046316926324,-40.352705830223506,-3.8002608487530805
Bridge-abutment retrofit,2467.959944751381,-7.992469662180904,6.0,11.666666666666666,-0.924273350293968,-2.6953234640640273,0.3644679338750654,8.411537786183736,15.0,-79.760515662473,-39.7938943446192,-3.505446078651363
