time_days,numerical_kpa,analytical_kpa,absolute_error_kpa
61.0,10.953305203886721,10.95330520388674,1.9539925233402755e-14
61.5,10.991151854478293,10.991151854478312,1.9539925233402755e-14
62.0,11.028528366425578,11.028528366425599,2.1316282072803006e-14
62.5,11.06544057988461,11.065440579884632,2.1316282072803006e-14
63.0,11.101894262463846,11.101894262463864,1.7763568394002505e-14
63.5,11.137895110125346,11.137895110125365,1.9539925233402755e-14
64.0,11.173448748074804,11.173448748074826,2.1316282072803006e-14
64.5,11.208560731640487,11.208560731640508,2.1316282072803006e-14
65.0,11.243236547141262,11.243236547141285,2.3092638912203256e-14
65.5,11.277481612743852,11.277481612743873,2.1316282072803006e-14
66.0,11.311301279309422,11.311301279309443,2.1316282072803006e-14
66.5,11.344700831229686,11.344700831229709,2.3092638912203256e-14
67.0,11.37768548725258,11.377685487252604,2.4868995751603507e-14
67.5,11.410260401297716,11.410260401297743,2.6645352591003757e-14
68.0,11.442430663261694,11.442430663261716,2.1316282072803006e-14
68.5,11.474201299813387,11.47420129981341,2.3092638912203256e-14
69.0,11.5055772751794,11.505577275179423,2.3092638912203256e-14
69.5,11.536563491919717,11.53656349191974,2.3092638912203256e-14
70.0,11.567164791693745,11.567164791693768,2.3092638912203256e-14
70.5,11.597385956016838,11.597385956016858,1.9539925233402755e-14
71.0,11.627231707007398,11.62723170700742,2.1316282072803006e-14
71.5,11.656706708124744,11.656706708124768,2.3092638912203256e-14
72.0,11.685815564897768,11.685815564897789,2.1316282072803006e-14
72.5,11.71456282564456,11.714562825644583,2.3092638912203256e-14
73.0,11.742952982183105,11.742952982183127,2.1316282072803006e-14
73.5,11.770990470533116,11.770990470533137,2.1316282072803006e-14
74.0,11.798679671609191,11.798679671609214,2.3092638912203256e-14
74.5,11.826024911905336,11.826024911905359,2.3092638912203256e-14
75.0,11.853030464170978,11.853030464171002,2.4868995751603507e-14
75.5,11.879700548078606,11.879700548078631,2.4868995751603507e-14
76.0,11.906039330883086,11.906039330883111,2.4868995751603507e-14
76.5,11.93205092807282,11.932050928072847,2.6645352591003757e-14
77.0,11.957739404012791,11.957739404012818,2.6645352591003757e-14
77.5,11.983108772579628,11.983108772579657,2.842170943040401e-14
78.0,12.008162997788787,12.00816299778881,2.3092638912203256e-14
78.5,12.032905994413923,12.032905994413948,2.4868995751603507e-14
79.0,12.057341628598602,12.057341628598628,2.6645352591003757e-14
79.5,12.08147371846038,12.081473718460407,2.6645352591003757e-14
80.0,12.105306034687397,12.105306034687423,2.6645352591003757e-14
80.5,12.128842301127552,12.128842301127575,2.3092638912203256e-14
81.0,12.152086195370352,12.152086195370378,2.6645352591003757e-14
81.5,12.175041349321575,12.175041349321598,2.3092638912203256e-14
82.0,12.19771134977072,12.197711349770742,2.1316282072803006e-14
82.5,12.220099738951479,12.220099738951502,2.3092638912203256e-14
83.0,12.24221001509522,12.24221001509524,2.1316282072803006e-14
83.5,12.264045632977561,12.264045632977584,2.3092638912203256e-14
84.0,12.285610004458235,12.285610004458256,2.1316282072803006e-14
84.5,12.30690649901415,12.306906499014168,1.7763568394002505e-14
85.0,12.327938444265907,12.327938444265927,1.9539925233402755e-14
85.5,12.34870912649775,12.348709126497766,1.5987211554602254e-14
86.0,12.369221791171025,12.369221791171045,1.9539925233402755e-14
86.5,12.389479643431331,12.389479643431349,1.7763568394002505e-14
87.0,12.409485848609295,12.409485848609307,1.2434497875801753e-14
87.5,12.429243532715173,12.429243532715189,1.5987211554602254e-14
88.0,12.448755782927314,12.448755782927327,1.2434497875801753e-14
88.5,12.468025648074502,12.468025648074518,1.5987211554602254e-14
89.0,12.48705613911238,12.487056139112392,1.2434497875801753e-14
89.5,12.505850229593886,12.505850229593895,8.881784197001252e-15
90.0,12.524410856133889,12.524410856133901,1.2434497875801753e-14
90.5,12.54274091886806,12.542740918868068,8.881784197001252e-15
91.0,12.56084328190598,12.560843281905992,1.2434497875801753e-14
91.5,12.578720773778716,12.578720773778727,1.0658141036401503e-14
92.0,12.596376187880741,12.596376187880749,7.105427357601002e-15
92.5,12.613812282906423,12.613812282906434,1.0658141036401503e-14
93.0,12.631031783281093,12.6310317832811,7.105427357601002e-15
93.5,12.648037379586707,12.648037379586718,1.0658141036401503e-14
94.0,12.664831728982298,12.664831728982307,8.881784197001252e-15
94.5,12.681417455619123,12.681417455619128,5.329070518200751e-15
95.0,12.697797151050704,12.697797151050713,8.881784197001252e-15
95.5,12.71397337463779,12.713973374637797,7.105427357601002e-15
96.0,12.729948653948222,12.729948653948227,5.329070518200751e-15
96.5,12.745725485151889,12.745725485151896,7.105427357601002e-15
97.0,12.761306333410774,12.76130633341078,5.329070518200751e-15
97.5,12.776693633264108,12.776693633264117,8.881784197001252e-15
98.0,12.791889789008808,12.791889789008815,7.105427357601002e-15
98.5,12.806897175075122,12.806897175075125,3.552713678800501e-15
99.0,12.82171813639765,12.821718136397656,7.105427357601002e-15
99.5,12.83635498878176,12.836354988781766,5.329070518200751e-15
100.0,12.85081001926541,12.850810019265419,8.881784197001252e-15
100.5,12.86508548647653,12.865085486476536,5.329070518200751e-15
101.0,12.879183620985911,12.879183620985915,3.552713678800501e-15
101.5,12.893106625655747,12.893106625655752,5.329070518200751e-15
102.0,12.906856675983855,12.906856675983857,1.7763568394002505e-15
102.5,12.920435920443563,12.920435920443568,5.329070518200751e-15
103.0,12.933846480819454,12.933846480819458,3.552713678800501e-15
103.5,12.947090452538868,12.947090452538868,0.0
104.0,12.960169904999324,12.960169904999328,3.552713678800501e-15
104.5,12.973086881891891,12.973086881891891,0.0
105.0,12.985843401520478,12.985843401520482,3.552713678800501e-15
105.5,12.99844145711724,12.998441457117242,1.7763568394002505e-15
106.0,13.01088301715399,13.010883017153988,1.7763568394002505e-15
106.5,13.02317002564979,13.02317002564979,0.0
107.0,13.035304402474727,13.035304402474726,1.7763568394002505e-15
107.5,13.047288043649857,13.047288043649859,1.7763568394002505e-15
108.0,13.059122821643506,13.059122821643506,0.0
108.5,13.070810585663807,13.070810585663802,5.329070518200751e-15
109.0,13.082353161947662,13.08235316194766,1.7763568394002505e-15
109.5,13.09375235404611,13.093752354046106,3.552713678800501e-15
110.0,13.105009943106097,13.105009943106095,1.7763568394002505e-15
110.5,13.116127688148827,13.116127688148826,1.7763568394002505e-15
111.0,13.127107326344579,13.127107326344575,3.552713678800501e-15
111.5,13.137950573284153,13.13795057328415,1.7763568394002505e-15
112.0,13.148659123246954,13.14865912324695,3.552713678800501e-15
112.5,13.159234649465692,13.15923464946569,1.7763568394002505e-15
113.0,13.169678804387862,13.169678804387859,3.552713678800501e-15
113.5,13.179993219933918,13.17999321993391,7.105427357601002e-15
114.0,13.190179507752266,13.190179507752262,3.552713678800501e-15
114.5,13.200239259471113,13.200239259471108,5.329070518200751e-15
115.0,13.21017404694712,13.210174046947118,1.7763568394002505e-15
115.5,13.219985422511057,13.219985422511053,3.552713678800501e-15
116.0,13.229674919210307,13.2296749192103,7.105427357601002e-15
116.5,13.239244051048441,13.239244051048438,3.552713678800501e-15
117.0,13.248694313221787,13.24869431322178,7.105427357601002e-15
117.5,13.258027182353024,13.25802718235302,3.552713678800501e-15
118.0,13.267244116721953,13.267244116721947,5.329070518200751e-15
118.5,13.276346556493317,13.27634655649331,7.105427357601002e-15
119.0,13.285335923941844,13.28533592394184,3.552713678800501e-15
119.5,13.294213623674496,13.29421362367449,5.329070518200751e-15
120.0,13.30298104284991,13.302981042849906,3.552713678800501e-15
