source,load_ratio,cycle,settlement_mm
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,17.0,2.2798
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,18.0,2.2824
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,19.0,2.2846
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,20.0,2.2864
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,21.0,2.2879
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,22.0,2.2892
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,23.0,2.2903
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,24.0,2.2911
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,25.0,2.2919
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,26.0,2.2925
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,27.0,2.293
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,28.0,2.2935
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,29.0,2.2938
"Qiu et al. (2025), Fig. 21 authors' workbook",0.8,30.0,2.294
